s	Product	Department	Dept_Name	Year	Month	Sales	Transactions	Items
99	Wedge Cookie	8	DELI	2016	9	15160.5	4596	5558
99	WEDGE COOKIE	8	DELI	2011	3	15119.51	5120	6286
81076600001	O.Large Eggs 12ct Larry	4	REF GROCERY	2015	1	15061.46	3567	3855
99	Wedge Cookie	8	DELI	2015	12	15041.24	4169	4807
828	TOMATOES Heirloom/Beefsteak TK	2	PRODUCE	2015	7	15037.32	2821	2879
211	APPLES Honeycrisp Local IPM	2	PRODUCE	2015	11	15023.56	3276	3393
99	WEDGE COOKIE	8	DELI	2010	3	15007.15	5247	6331
99	Wedge Cookie	8	DELI	2011	6	14987.67	4970	6188
11	BROCCOLI Organic	2	PRODUCE	2013	10	14961.07	4116	4126
133	AVOCADO Hass Organic	2	PRODUCE	2011	6	14933.94	5847	7000
3338320038	O.Strawberries 16oz pkg	2	PRODUCE	2014	4	14911.03	2414	2680
11	BROCCOLI Organic	2	PRODUCE	2010	1	14893.28	4878	4914
3338320038	O.Strawberries 16oz pkg.	2	PRODUCE	2010	7	14878.32	3788	4119
347	BROCCOLI Organic	2	PRODUCE	2015	3	14873.6	4387	4412
11	BROCCOLI Organic	2	PRODUCE	2013	3	14870.57	5089	5093
133	AVOCADO Hass Organic	2	PRODUCE	2013	8	14862.69	6091	7759
11	BROCCOLI Organic	2	PRODUCE	2014	1	14861.05	4753	4783
153	Grapes Red Organic	2	PRODUCE	2011	7	14844.81	1777	1767
151	Banana Organic	2	PRODUCE	2016	9	14843.52	8145	8326
320	Peach Colorado Organic	2	PRODUCE	2014	8	14820.71	2041	2030
133	AVOCADO Hass Organic	2	PRODUCE	2013	2	14797.04	7738	8896
11	BROCCOLI Organic	2	PRODUCE	2012	4	14788.63	4868	4886
99	Wedge Cookie	8	DELI	2012	11	14774.11	4858	5797
133	AVOCADO Hass Organic	2	PRODUCE	2016	9	14764.5	4235	4751
826	TOMATOES Living Waters Hydro	2	PRODUCE	2010	4	14754.1	3766	3796
133	AVOCADO Hass Organic	2	PRODUCE	2015	4	14724.06	5594	6437
351	Asparagus Organic	2	PRODUCE	2011	4	14708.16	1827	1833
826	TOMATOES Living Waters	2	PRODUCE	2011	4	14676.29	4134	4163
700	Squash Winter/Pie Pumpkin O.	2	PRODUCE	2013	10	14643.5	2455	2740
133	AVOCADO Hass Organic	2	PRODUCE	2014	1	14608.83	4406	5281
11	BROCCOLI Organic	2	PRODUCE	2010	11	14516.49	3929	3951
99	Wedge Cookie	8	DELI	2011	11	14514.86	4779	5760
99	Wedge Cookie	8	DELI	2014	12	14513.52	4035	4716
3338320038	O.Strawberries 16oz pkg	2	PRODUCE	2011	6	14497.48	2763	2994
99	Wedge Cookie	8	DELI	2011	7	14466.83	4815	5844
99	Wedge Cookie	8	DELI	2016	6	14463.58	4194	5018
