Date	Hour	Sales	Transactions	Items
2/4/2010	19	2876.22	99	972
2/4/2010	20	3971.7	98	1274
2/4/2010	21	2559.31	72	769
2/4/2010	22	15.99	1	1
2/5/2010	9	2369.21	69	683
2/5/2010	10	3164.25	74	912
2/5/2010	11	4015.62	105	1261
2/5/2010	12	5923.53	132	1782
2/5/2010	13	4460.72	116	1365
2/5/2010	14	4443.56	107	1352
2/5/2010	15	4199.02	108	1275
2/5/2010	16	5017.71	137	1594
2/5/2010	17	5212.36	128	1665
2/5/2010	18	5357.21	144	1706
2/5/2010	19	4337.47	111	1330
2/5/2010	20	2775.75	77	917
2/5/2010	21	1640.98	51	587
2/5/2010	22	38.95	2	19
2/6/2010	9	4390.95	95	1300
2/6/2010	10	6265.83	134	1961
2/6/2010	11	7217.99	146	2275
2/6/2010	12	8707.29	174	2656
2/6/2010	13	7017.48	148	2119
2/6/2010	14	9704.34	185	2804
2/6/2010	15	9312.46	198	2788
2/6/2010	16	8735.55	182	2552
2/6/2010	17	7206.22	167	2172
2/6/2010	18	5440.11	132	1658
2/6/2010	19	5175.3	132	1628
2/6/2010	20	4077.33	89	1177
2/6/2010	21	327.48	8	86
2/7/2010	8	10.46	1	4
2/7/2010	9	2903.84	68	910
2/7/2010	10	6951.85	105	2095
2/7/2010	11	7787.75	160	2443
2/7/2010	12	8391	183	2643
2/7/2010	13	8629.68	193	2694
2/7/2010	14	8398.21	174	2637
2/7/2010	15	9395.11	186	2845
2/7/2010	16	8186.15	198	2651
2/7/2010	17	9091.33	205	2837
2/7/2010	18	6369.55	133	1822
2/7/2010	19	3548.73	75	1101
2/7/2010	20	2812.27	56	973
2/7/2010	21	92.59	3	22
2/8/2010	9	1340.12	39	376
2/8/2010	10	2692.18	51	759
2/8/2010	11	4566.41	89	1364
2/8/2010	12	2706.7	82	791
2/8/2010	13	4534.45	101	1280
2/8/2010	14	3978.64	105	1196
2/8/2010	15	4304.51	127	1387
2/8/2010	16	3872.68	103	1260
2/8/2010	17	3987.8	120	1312
2/8/2010	18	4835.44	148	1603
2/8/2010	19	3872.67	106	1187
2/8/2010	20	2707.59	76	926
2/8/2010	21	1388.47	41	405
2/8/2010	22	94.7	3	32
2/9/2010	9	1388.51	37	356
2/9/2010	10	1976.97	54	558
2/9/2010	11	4083.34	89	1243
2/9/2010	12	4773.48	124	1333
2/9/2010	13	5346.35	121	1506
2/9/2010	14	3710.27	94	1139
2/9/2010	15	3893.2	110	1330
2/9/2010	16	4485.38	122	1327
2/9/2010	17	4578.47	128	1491
2/9/2010	18	4278.3	144	1463
2/9/2010	19	4128.86	116	1345
2/9/2010	20	3340.22	92	1090
2/9/2010	21	2841.86	76	928
2/9/2010	22	293.86	10	84
2/10/2010	8	13.79	2	5
2/10/2010	9	1854.23	60	521
2/10/2010	10	2790.77	84	791
2/10/2010	11	3363.54	92	901
2/10/2010	12	5089.94	112	1363
2/10/2010	13	4354.33	124	1237
